Method,mean_1,std_1,mean_2,std_2,rank
cell2fate,0.5206265651551883,0.06153954444257033,0.4108801997234534,0.15552329222481626,19.0
celldancer,0.6662751325823625,0.06515977938253047,0.6810758882683592,0.14638492266633782,3.0
deepvelo,0.4794463471049612,0.05533561288826465,0.6966559775735046,0.31959466842344214,15.0
dynamo_m1,0.5148425622162637,0.036387628201653206,0.3321614937066754,0.1449906712436218,23.0
graphvelo_std,0.4369593593095685,0.1834539713183913,0.27968050232275027,0.17301798659572803,24.0
kvelo,0.50511407247913,0.05664394005880092,0.5351447088668934,0.2762794173951434,17.0
latentvelo_std,0.548762223474684,0.20715665505757308,0.40585710283353044,0.3808259506428737,18.0
pyrovelocity_m1,0.4788543351420517,0.10233141906914957,0.5156815876387677,0.01372227573720511,21.0
pyrovelocity_m2,0.595727249178311,0.19565979342561227,0.7779756533023839,0.11164382107884636,1.0
sctour_mse,0.38327571118760456,0.10244859045069098,0.269620372646993,0.08169614684789286,25.0
sctour_nb,0.5761656285149749,0.20668767782834757,0.6143185468578362,0.2501116685442357,12.0
sctour_zinb,0.5905614395563616,0.19691194996327338,0.6103762920602334,0.25324189885223286,11.0
scvelo_dyn,0.5371057830048432,0.027750428356657714,0.3769544922129491,0.21560148083064573,20.0
scvelo_stc,0.6082041557133379,0.0479119535195466,0.757635945275665,0.21270405818362673,2.0
sdevelo,0.5880643605034412,0.09746712571007714,0.7728779179952335,0.1543442798640215,3.0
svelvetvae,0.46597193425936395,0.08467278849300078,0.5234357458699183,0.36559444834989363,21.0
tivelo_std,0.5597181895946376,0.16366086630030194,0.7011582387003797,0.2682446881602403,10.0
tivelo_simple,0.5495645310380425,0.17887682415169245,0.6873538758839346,0.27507792709142226,12.0
unitvelo_ind,0.6248188280781622,0.1751664323599663,0.6542132493229662,0.1746845142243186,6.0
unitvelo_uni,0.5824318043997289,0.03998790690240429,0.6994834968583419,0.2499465070441846,8.0
veloae,0.5577675482878824,0.16771063178692733,0.41845530772600165,0.25066344026232656,16.0
velocyto,0.5874989302768685,0.020334195489704502,0.7200831921616403,0.29306322067182333,5.0
velovae_std,0.6289816882998237,0.15319558651676027,0.6153641874713691,0.2529920533584599,6.0
velovae_fullvb,0.5711055242367583,0.21908114586902808,0.5637476756327641,0.30915937824427486,14.0
velovi,0.6570738829552217,0.14724566533932248,0.5909595140438091,0.21992908251075946,8.0
